,name,group,party,status,twitter_account,image
narthaud,Nathalie Arthaud,Extrême gauche,Lutte ouvrière (LO),1,"['@n_arthaud', '@LutteOuvriere']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/arthaud@1x.png
akazib,Anasse Kazib,Extrême gauche,Révolution permanente,-1,"['@AnasseKazib', '@RevPermanente']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/kazib@1x.png
ppoutou,Philippe Poutou,Extrême gauche,Nouveau parti anticapitaliste (NPA),1,"['@PhilippePoutou', '@NPA_officiel']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/poutou@1x.png
jmelenchon,Jean-Luc Mélenchon,Gauche radicale,La France insoumise (LFI),1,"['@JLMelenchon', '@FranceInsoumise']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/melenchon@1x.png
froussel,Fabien Roussel,Gauche radicale,Parti communiste français (PCF),1,"['@Fabien_Roussel', '@PCF']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/roussel@1x.png
plarrouturou,Pierre Larrouturou,Gauche modérée,Nouvelle Donne,-1,"['@larrouturou', '@Nouvelle_Donne']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/larrouturou@1x.png
amontebourg,Arnaud Montebourg,Gauche modérée,Ex-Parti socialiste,-1,['@montebourg'],https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/montebourg@1x.png
ahidalgo,Anne Hidalgo,Gauche modérée,Parti socialiste (PS),1,"['@Anne_Hidalgo', '@partisocialiste']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/hidalgo@1x.png
yjadot,Yannick Jadot,Écologistes,Europe Ecologie-Les Verts (EELV),1,"['@yjadot', '@EELV']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/jadot@1x.png
awaechter,Antoine Waechter,Écologistes,Mouvement écologiste indépendant (MEI),-1,['@Waechter2022'],https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/waechter@1x.png
jlagarde,Jean-Christophe Lagarde,Centre,Union des démocrates et indépendants (UDI),-1,"['@jclagarde', '@UDI_off']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/lagarde@1x.png
emacron,Emmanuel Macron,Centre,La République en marche (LRM),1,"['@EmmanuelMacron', '@enmarchefr']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/macron@1x.png
xbertrand,Xavier Bertrand,Droite,Divers droite,-1,['@xavierbertrand'],https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/bertrand@1x.png
vpecresse,Valérie Pécresse,Droite,Libres !,1,['@vpecresse'],https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/pecresse@1x.png
pjuvin,Philippe Juvin,Droite,Les Républicains (LR),-1,"['@philippejuvin', '@lesRepublicains']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/juvin@1x.png
eciotti,Eric Ciotti,Droite,Les Républicains (LR),-1,"['@ECiotti', '@lesRepublicains']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/ciotti@1x.png
mbarnier,Michel Barnier,Droite,Les Républicains (LR),-1,"['@MichelBarnier', '@lesRepublicains']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/barnier@1x.png
dpayre,Denis Payre,Droite,Les Républicains (LR),-1,"['@DenisPayre', '@lesRepublicains']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/payre@1x.png
jpoisson,Jean-Frédéric Poisson,Droite,"VIA, la voie du peuple",-1,"['@jfpoisson78', '@via_officiel']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/poisson@1x.png
jmouraud,Jacline Mouraud,Droite,Indépendante,-1,['@JaclineMouraud'],https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/moureaud@1x.png
mlepen,Marine Le Pen,Extrême droite,Rassemblement national (RN),1,"['@MLP_officiel', '@RNational_off']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/mlepen@1x.png
amartinez,Antoine Martinez,Extrême droite,Volontaires pour la France (VPF),-1,"['@antoine27955080', '@VPF_France']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/martinez@1x.png
ndupontaignant,Nicolas Dupont-Aignan,Extrême droite,Debout la France (DLF),1,"['@dupontaignan', '@DLF_Officiel']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/dupont-aignan@1x.png
fphilippot,Florian Philippot,Extrême droite,Les Patriotes,-1,"['@f_philippot', '@_LesPatriotes']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/philippot@1x.png
ezemmour,Eric Zemmour,Extrême droite,Indépendant,1,['@ZemmourEric'],https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/zemmour@1x.png
fasselineau,François Asselineau,Divers,Union populaire républicaine (UPR),-1,"['@UPR_Asselineau', '@UPR_Officiel']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/asselineau@1x.png
jlassalle,Jean Lassalle,Divers,Résistons,1,"['@jeanlassalle', '@ResistonsFrance']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/lassalle@1x.png
mcau,Marie Cau,Divers,Indépendante,-1,[],https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/cau@1x.png
cegger,Clara Egger,Divers,Espoir RIC 2022,-1,"['@ClaraEgger1', '@espoirRIC2022']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/egger@1x.png
alanglois,Alexandre Langlois,Divers,Refondation 2022,-1,['@AlexLanglois_'],https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/langlois@1x.png
hthouy,Hélène Thouy,Divers,Parti animaliste,-1,"['@HeleneThouy', '@PartiAnimaliste']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/thouy@1x.png
gkuzmanovic,Georges Kuzmanovic,Divers,République souveraine,-1,"['@Vukuzman', '@RSouveraine']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/Kuzmanovic@1x.png
fgrimal,Fabrice Grimal,Divers,La Concorde citoyenne,-1,"['@FabriceGrimal', '@LCC2022']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/grimal@1x.png
bretailleau,Bruno Retailleau,Droite,Les Républicains (LR),-1,"['@BrunoRetailleau', '@lesRepublicains']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/retailleau@1x.png
lwauquiez,Laurent Wauquiez,Droite,Les Républicains (LR),-1,"['@laurentwauquiez', '@lesRepublicains']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/wauquiez@1x.png
sroyal,Ségolène Royal,Gauche modérée,Parti socialiste (PS),-1,"['@RoyalSegolene', '@partisocialiste']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/royal@1x.png
slefoll,Stéphane Le Foll,Gauche modérée,Parti socialiste (PS),-1,"['@SLeFoll', '@partisocialiste']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/lefoll@1x.png
srousseau,Sandrine Rousseau,Écologistes,Europe Ecologie-Les Verts (EELV),-1,"['@sandrousseau', '@EELV']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/rousseau@1x.png
epiolle,Eric Piolle,Écologistes,Europe Ecologie-Les Verts (EELV),-1,"['@EricPiolle', '@EELV']",https://assets-decodeurs.lemonde.fr/decodeurs/assets/candidats_presidentielle_2022/piolle@1x.png
