geoName,interest,candidate,date_collect,dateid
Alsace,46,ahidalgo,20211121_0000,20211121
Aquitaine,68,ahidalgo,20211121_0000,20211121
Auvergne,0,ahidalgo,20211121_0000,20211121
Basse-Normandie,0,ahidalgo,20211121_0000,20211121
Bourgogne,86,ahidalgo,20211121_0000,20211121
Bretagne,33,ahidalgo,20211121_0000,20211121
Centre-Val de Loire,48,ahidalgo,20211121_0000,20211121
Champagne-Ardenne,100,ahidalgo,20211121_0000,20211121
Corse,0,ahidalgo,20211121_0000,20211121
Franche-Comté,62,ahidalgo,20211121_0000,20211121
Haute-Normandie,32,ahidalgo,20211121_0000,20211121
Languedoc-Roussillon,0,ahidalgo,20211121_0000,20211121
Limousin,0,ahidalgo,20211121_0000,20211121
Lorraine,26,ahidalgo,20211121_0000,20211121
Midi-Pyrénées,42,ahidalgo,20211121_0000,20211121
Nord-Pas-de-Calais,13,ahidalgo,20211121_0000,20211121
Pays de la Loire,17,ahidalgo,20211121_0000,20211121
Picardie,0,ahidalgo,20211121_0000,20211121
Poitou-Charentes,75,ahidalgo,20211121_0000,20211121
Provence-Alpes-Côte d'Azur,51,ahidalgo,20211121_0000,20211121
Rhône-Alpes,75,ahidalgo,20211121_0000,20211121
Île-de-France,44,ahidalgo,20211121_0000,20211121
Alsace,34,ahidalgo,20211121_0400,20211121
Aquitaine,21,ahidalgo,20211121_0400,20211121
Auvergne,0,ahidalgo,20211121_0400,20211121
Basse-Normandie,0,ahidalgo,20211121_0400,20211121
Bourgogne,0,ahidalgo,20211121_0400,20211121
Bretagne,54,ahidalgo,20211121_0400,20211121
Centre-Val de Loire,0,ahidalgo,20211121_0400,20211121
Champagne-Ardenne,0,ahidalgo,20211121_0400,20211121
Corse,0,ahidalgo,20211121_0400,20211121
Franche-Comté,0,ahidalgo,20211121_0400,20211121
Haute-Normandie,100,ahidalgo,20211121_0400,20211121
Languedoc-Roussillon,0,ahidalgo,20211121_0400,20211121
Limousin,69,ahidalgo,20211121_0400,20211121
Lorraine,0,ahidalgo,20211121_0400,20211121
Midi-Pyrénées,0,ahidalgo,20211121_0400,20211121
Nord-Pas-de-Calais,0,ahidalgo,20211121_0400,20211121
Pays de la Loire,28,ahidalgo,20211121_0400,20211121
Picardie,0,ahidalgo,20211121_0400,20211121
Poitou-Charentes,0,ahidalgo,20211121_0400,20211121
Provence-Alpes-Côte d'Azur,0,ahidalgo,20211121_0400,20211121
Rhône-Alpes,11,ahidalgo,20211121_0400,20211121
Île-de-France,20,ahidalgo,20211121_0400,20211121
Alsace,100,ahidalgo,20211121_0500,20211121
Aquitaine,0,ahidalgo,20211121_0500,20211121
Auvergne,0,ahidalgo,20211121_0500,20211121
Basse-Normandie,0,ahidalgo,20211121_0500,20211121
Bourgogne,0,ahidalgo,20211121_0500,20211121
Bretagne,0,ahidalgo,20211121_0500,20211121
Centre-Val de Loire,100,ahidalgo,20211121_0500,20211121
Champagne-Ardenne,0,ahidalgo,20211121_0500,20211121
Corse,0,ahidalgo,20211121_0500,20211121
Franche-Comté,0,ahidalgo,20211121_0500,20211121
Haute-Normandie,0,ahidalgo,20211121_0500,20211121
Languedoc-Roussillon,70,ahidalgo,20211121_0500,20211121
Limousin,0,ahidalgo,20211121_0500,20211121
Lorraine,0,ahidalgo,20211121_0500,20211121
Midi-Pyrénées,0,ahidalgo,20211121_0500,20211121
Nord-Pas-de-Calais,0,ahidalgo,20211121_0500,20211121
Pays de la Loire,0,ahidalgo,20211121_0500,20211121
Picardie,0,ahidalgo,20211121_0500,20211121
Poitou-Charentes,0,ahidalgo,20211121_0500,20211121
Provence-Alpes-Côte d'Azur,0,ahidalgo,20211121_0500,20211121
Rhône-Alpes,0,ahidalgo,20211121_0500,20211121
Île-de-France,27,ahidalgo,20211121_0500,20211121
Alsace,0,ahidalgo,20211121_0600,20211121
Aquitaine,0,ahidalgo,20211121_0600,20211121
Auvergne,0,ahidalgo,20211121_0600,20211121
Basse-Normandie,0,ahidalgo,20211121_0600,20211121
Bourgogne,0,ahidalgo,20211121_0600,20211121
Bretagne,0,ahidalgo,20211121_0600,20211121
Centre-Val de Loire,0,ahidalgo,20211121_0600,20211121
Champagne-Ardenne,0,ahidalgo,20211121_0600,20211121
Corse,0,ahidalgo,20211121_0600,20211121
Franche-Comté,0,ahidalgo,20211121_0600,20211121
Haute-Normandie,0,ahidalgo,20211121_0600,20211121
Languedoc-Roussillon,31,ahidalgo,20211121_0600,20211121
Limousin,0,ahidalgo,20211121_0600,20211121
Lorraine,100,ahidalgo,20211121_0600,20211121
Midi-Pyrénées,0,ahidalgo,20211121_0600,20211121
Nord-Pas-de-Calais,0,ahidalgo,20211121_0600,20211121
Pays de la Loire,0,ahidalgo,20211121_0600,20211121
Picardie,0,ahidalgo,20211121_0600,20211121
Poitou-Charentes,0,ahidalgo,20211121_0600,20211121
Provence-Alpes-Côte d'Azur,15,ahidalgo,20211121_0600,20211121
Rhône-Alpes,0,ahidalgo,20211121_0600,20211121
Île-de-France,17,ahidalgo,20211121_0600,20211121
Alsace,0,ahidalgo,20211121_0700,20211121
Aquitaine,0,ahidalgo,20211121_0700,20211121
Auvergne,0,ahidalgo,20211121_0700,20211121
Basse-Normandie,0,ahidalgo,20211121_0700,20211121
Bourgogne,0,ahidalgo,20211121_0700,20211121
Bretagne,39,ahidalgo,20211121_0700,20211121
Centre-Val de Loire,100,ahidalgo,20211121_0700,20211121
Champagne-Ardenne,99,ahidalgo,20211121_0700,20211121
Corse,0,ahidalgo,20211121_0700,20211121
Franche-Comté,0,ahidalgo,20211121_0700,20211121
Haute-Normandie,0,ahidalgo,20211121_0700,20211121
Languedoc-Roussillon,0,ahidalgo,20211121_0700,20211121
Limousin,0,ahidalgo,20211121_0700,20211121
Lorraine,0,ahidalgo,20211121_0700,20211121
Midi-Pyrénées,0,ahidalgo,20211121_0700,20211121
Nord-Pas-de-Calais,26,ahidalgo,20211121_0700,20211121
Pays de la Loire,69,ahidalgo,20211121_0700,20211121
Picardie,0,ahidalgo,20211121_0700,20211121
Poitou-Charentes,67,ahidalgo,20211121_0700,20211121
Provence-Alpes-Côte d'Azur,58,ahidalgo,20211121_0700,20211121
Rhône-Alpes,39,ahidalgo,20211121_0700,20211121
Île-de-France,41,ahidalgo,20211121_0700,20211121
Alsace,27,ahidalgo,20211121_0800,20211121
Aquitaine,92,ahidalgo,20211121_0800,20211121
Auvergne,80,ahidalgo,20211121_0800,20211121
Basse-Normandie,0,ahidalgo,20211121_0800,20211121
Bourgogne,0,ahidalgo,20211121_0800,20211121
Bretagne,34,ahidalgo,20211121_0800,20211121
Centre-Val de Loire,97,ahidalgo,20211121_0800,20211121
Champagne-Ardenne,100,ahidalgo,20211121_0800,20211121
Corse,0,ahidalgo,20211121_0800,20211121
Franche-Comté,50,ahidalgo,20211121_0800,20211121
Haute-Normandie,0,ahidalgo,20211121_0800,20211121
Languedoc-Roussillon,33,ahidalgo,20211121_0800,20211121
Limousin,0,ahidalgo,20211121_0800,20211121
Lorraine,53,ahidalgo,20211121_0800,20211121
Midi-Pyrénées,86,ahidalgo,20211121_0800,20211121
Nord-Pas-de-Calais,26,ahidalgo,20211121_0800,20211121
Pays de la Loire,48,ahidalgo,20211121_0800,20211121
Picardie,69,ahidalgo,20211121_0800,20211121
Poitou-Charentes,34,ahidalgo,20211121_0800,20211121
Provence-Alpes-Côte d'Azur,46,ahidalgo,20211121_0800,20211121
Rhône-Alpes,25,ahidalgo,20211121_0800,20211121
Île-de-France,83,ahidalgo,20211121_0800,20211121
Alsace,11,ahidalgo,20211121_0900,20211121
Aquitaine,31,ahidalgo,20211121_0900,20211121
Auvergne,0,ahidalgo,20211121_0900,20211121
Basse-Normandie,19,ahidalgo,20211121_0900,20211121
Bourgogne,32,ahidalgo,20211121_0900,20211121
Bretagne,32,ahidalgo,20211121_0900,20211121
Centre-Val de Loire,10,ahidalgo,20211121_0900,20211121
Champagne-Ardenne,21,ahidalgo,20211121_0900,20211121
Corse,0,ahidalgo,20211121_0900,20211121
Franche-Comté,0,ahidalgo,20211121_0900,20211121
Haute-Normandie,30,ahidalgo,20211121_0900,20211121
Languedoc-Roussillon,22,ahidalgo,20211121_0900,20211121
Limousin,100,ahidalgo,20211121_0900,20211121
Lorraine,45,ahidalgo,20211121_0900,20211121
Midi-Pyrénées,36,ahidalgo,20211121_0900,20211121
Nord-Pas-de-Calais,5,ahidalgo,20211121_0900,20211121
Pays de la Loire,31,ahidalgo,20211121_0900,20211121
Picardie,42,ahidalgo,20211121_0900,20211121
Poitou-Charentes,14,ahidalgo,20211121_0900,20211121
Provence-Alpes-Côte d'Azur,18,ahidalgo,20211121_0900,20211121
Rhône-Alpes,20,ahidalgo,20211121_0900,20211121
Île-de-France,35,ahidalgo,20211121_0900,20211121
Alsace,0,ahidalgo,20211121_1000,20211121
Aquitaine,100,ahidalgo,20211121_1000,20211121
Auvergne,29,ahidalgo,20211121_1000,20211121
Basse-Normandie,27,ahidalgo,20211121_1000,20211121
Bourgogne,73,ahidalgo,20211121_1000,20211121
Bretagne,49,ahidalgo,20211121_1000,20211121
Centre-Val de Loire,45,ahidalgo,20211121_1000,20211121
Champagne-Ardenne,0,ahidalgo,20211121_1000,20211121
Corse,0,ahidalgo,20211121_1000,20211121
Franche-Comté,0,ahidalgo,20211121_1000,20211121
